team,player_name,points_per_game,three_pointers,pts_off_turnovers
Boston Celtics,Matt Ryan,3.0,1.0,0.0
Boston Celtics,Payton Pritchard,6.2,1.42,1.06
Boston Celtics,Justin Jackson,2.0,0.0,0.0
Boston Celtics,Joe Johnson,2.0,0.0,0.0
Boston Celtics,Nik Stauskas,1.2,0.33,0.5
Boston Celtics,Bruno Fernando,1.0,0.05,0.2
Boston Celtics,Al-Farouq Aminu,0.0,0.0,0.0
Boston Celtics,Grant Williams,7.8,1.38,1.1
Boston Celtics,Enes Freedom,3.7,0.06,0.4
Boston Celtics,Bol Bol,0.0,0.0,0.0
Boston Celtics,Brodric Thomas,1.8,0.17,0.17
Boston Celtics,C.J. Miles,0.0,0.0,0.0
Boston Celtics,Aaron Nesmith,3.8,0.6,0.6
Boston Celtics,Jayson Tatum,26.9,3.03,3.64
Boston Celtics,Derrick White,11.0,1.31,1.08
Boston Celtics,Dennis Schroder,14.4,1.37,2.47
Boston Celtics,Malik Fitts,1.9,0.38,0.0
Boston Celtics,Marcus Smart,12.1,1.68,1.68
Boston Celtics,Juwan Morgan,0.0,0.0,0.0
Boston Celtics,Juancho Hernangomez,1.1,0.17,0.22
Boston Celtics,Robert Williams III,10.0,0.0,1.66
Boston Celtics,Al Horford,10.2,1.29,1.52
Boston Celtics,Romeo Langford,4.7,0.66,0.59
Boston Celtics,Daniel Theis,7.9,0.48,1.19
Boston Celtics,Norvel Pelle,0.0,0.0,0.0
Boston Celtics,Jabari Parker,4.4,0.67,0.42
Boston Celtics,PJ Dozier,0.0,0.0,0.0
Boston Celtics,Kelan Martin,0.0,0.0,0.0
Boston Celtics,Josh Richardson,9.7,1.41,1.8
Boston Celtics,Sam Hauser,2.5,0.73,0.23
Boston Celtics,Luke Kornet,2.2,0.0,0.0
Boston Celtics,Jaylen Brown,23.6,2.52,3.44
Philadelphia 76ers,DeAndre Jordan,4.6,0.0,0.63
Philadelphia 76ers,Seth Curry,15.0,2.22,1.8
Philadelphia 76ers,Aaron Henry,0.3,0.0,0.0
Philadelphia 76ers,Willie Cauley-Stein,0.0,0.0,0.0
Philadelphia 76ers,Ben Simmons,0.0,0.0,0.0
Philadelphia 76ers,Isaiah Joe,3.6,0.82,0.58
Philadelphia 76ers,Andre Drummond,6.1,0.0,1.08
Philadelphia 76ers,Danny Green,5.9,1.66,0.79
Philadelphia 76ers,Shake Milton,8.2,0.78,1.4
Philadelphia 76ers,Paul Millsap,3.7,0.22,1.0
Philadelphia 76ers,Tyrese Maxey,17.5,1.76,3.29
