team,points_per_game,three_pointers,pts_off_turnovers
Boston Celtics,111.8,13.23,16.3
Philadelphia 76ers,109.9,11.59,15.74
Toronto Raptors,109.4,11.94,19.01
Brooklyn Nets,112.9,11.46,15.7
New York Knicks,106.5,13.2,15.63
Milwaukee Bucks,115.5,14.06,15.17
Chicago Bulls,111.6,10.63,16.48
Cleveland Cavaliers,107.8,11.62,15.87
Indiana Pacers,111.5,12.16,14.52
Detroit Pistons,104.8,11.28,16.95
Miami Heat,110.0,13.59,17.23
Atlanta Hawks,113.9,12.88,15.55
Charlotte Hornets,115.3,13.94,18.56
Washington Wizards,108.6,10.49,14.0
Orlando Magic,104.2,12.18,14.2
Utah Jazz,113.6,14.54,14.72
Denver Nuggets,112.7,12.67,15.55
Minnesota Timberwolves,115.9,14.77,19.72
Portland Trail Blazers,106.2,12.72,16.54
Oklahoma City Thunder,103.7,12.09,14.98
Phoenix Suns,114.8,11.6,18.05
Golden State Warriors,111.0,14.34,17.65
LA Clippers,108.4,12.77,15.38
Los Angeles Lakers,112.1,11.98,16.06
Sacramento Kings,110.3,11.43,16.24
Memphis Grizzlies,115.6,11.52,18.34
Dallas Mavericks,108.0,13.09,14.84
New Orleans Pelicans,109.3,10.65,16.6
San Antonio Spurs,113.2,11.28,16.43
Houston Rockets,109.7,13.48,16.09
